STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,UNIT_MEASURE,Unit of measure,MEASURE,Measure,FREQ,Frequency,SEX,Sex,AGE,Age class,LMS,Legal marital status,HST,Household status,FST,Familly status,HAR,Housing arrangements,LOC_SIZE,Size of the locality,WSTATUS,Working status,EDU,Educational level,SIE,Employment status,LPW,Place of work,C_BIRTH,Country of birth,CITIZEN,Citizenship,YAE,Year of arrival in the country since 1980,YAT,Year of arrival in the country since 2010,ROY,Place of usual residence one year prior to the census,GEO,Geographic level,ACTIVITY,Economic activity (NACE Rev.2),ISCO08,Occupation (ISCO-08),TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,F,Female,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,UNK,Not stated,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000108,Mamer,_Z,Not applicable,_Z,Not applicable,2021,,0,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,F,Female,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,UNK,Not stated,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000104,Käerjeng,_Z,Not applicable,_Z,Not applicable,2021,,0,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,F,Female,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,OTH,Other,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000213,Sanem,_Z,Not applicable,_Z,Not applicable,2021,,1,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,_T,Total,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0001206,Schengen,_Z,Not applicable,_Z,Not applicable,2021,,5075,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,M,Male,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,OTH,Other,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000710,Wahl,_Z,Not applicable,_Z,Not applicable,2021,,0,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,M,Male,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NAT,Luxembourg,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000605,Ettelbruck,_Z,Not applicable,_Z,Not applicable,2021,,2363,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,M,Male,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,FOR,Foreign,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000605,Ettelbruck,_Z,Not applicable,_Z,Not applicable,2021,,2229,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,_T,Total,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,EU_OTH,Other EU-27 Member State,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0001106,Manternach,_Z,Not applicable,_Z,Not applicable,2021,,499,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,F,Female,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0000709,Vichten,_Z,Not applicable,_Z,Not applicable,2021,,694,,0,Units,0,Zero
DATAFLOW,LU1:DSD_CENSUS_GROUP7_10@DF_B1626(1.0),"Population by canton and municipality, country of birth and sex",I,PERS,Persons,POP,Population,A10,Decennial,F,Female,_Z,not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,NAT,Luxembourg,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,LU0001204,Mondorf-les-Bains,_Z,Not applicable,_Z,Not applicable,2021,,1531,,0,Units,0,Zero
