LAU,commune,pop_total_2021,pop_0_14,pop_15_64,pop_65p,share_65p,old_dep_ratio,youth_dep_ratio,share_foreign_citizenship,share_foreign_born,share_never_married,share_divorced,share_widowed,share_not_in_family_nucleus,share_private_household,share_institutional,LAU_trim
LU0000206,Kayl,19402,3194,13340,2868,14.78198123904752,21.499250374812593,23.94302848575712,37.03741882280177,38.60426760127822,,,,22.64714977837336,99.6392124523245,0.36078754767549737,00206
LU0000807,Wiltz,15394,3110,10178,2106,13.68065480057165,20.691687954411474,30.556101395166046,48.82421722749123,49.34390022086527,,,,18.565674938287643,97.5315057814733,2.4684942185266987,00807
LU0000208,Mondercange,13958,1990,9330,2638,18.899555810288007,28.27438370846731,21.329046087888532,28.342169365238572,32.79839518555667,,,,19.830921335434876,98.16592635048002,1.8340736495199885,00208
LU0000311,Weiler-la-Tour,5002,928,3406,668,13.3546581367453,19.61244862008221,27.24603640634175,31.507397041183527,34.1063574570172,,,,15.433826469412235,100.0,0.0,00311
LU0001106,Manternach,4464,732,3000,732,16.397849462365592,24.4,24.4,25.76164874551971,29.301075268817208,,,,15.0089605734767,95.47491039426524,4.525089605734767,01106
LU0000105,Kehlen,12336,2018,7940,2378,19.2769130998703,29.949622166246854,25.415617128463474,33.900778210116734,39.931906614785994,,,,15.402075226977951,98.81647211413748,1.1835278858625162,00105
LU0001204,Mondorf-les-Bains,10806,1408,6744,2654,24.56042939107903,39.35349940688019,20.877817319098458,41.921154913936704,46.12252452341291,,,,26.189154173607253,96.77956690727373,3.220433092726263,01204
LU0001202,Dalheim,4798,802,3250,746,15.54814506044185,22.953846153846154,24.676923076923078,30.429345560650273,34.18090871196332,,,,20.425177157148813,99.12463526469362,0.8753647353063776,01202
LU0000204,Esch-sur-Alzette,72234,11620,50348,10266,14.212143865769583,20.39008500834194,23.079367601493605,56.723980397042936,56.0899299498851,,,,24.553534346706538,98.04801063211231,1.893845003737852,00204
LU0000107,Kopstal,8274,1426,5514,1334,16.122794295383127,24.192963365977512,25.861443598113894,50.49552816050278,54.701474498428816,,,,19.24099589074208,99.12980420594634,0.8701957940536621,00107
LU0000209,Pétange,40770,7218,27938,5614,13.769928869266618,20.09449495311046,25.835779225427736,48.94285013490312,48.467010056414026,,,,18.10645082168261,99.44076526857984,0.5592347314201619,00209
LU0000203,Dudelange,43136,6572,29546,7018,16.269473293768545,23.752792256142964,22.243281662492382,39.456602373887236,41.580118694362014,,,,20.70660237388724,98.55341246290801,1.446587537091988,00203
LU0000501,Clervaux,11502,1922,7788,1792,15.579899147974267,23.00975860297894,24.678993323061118,34.95044340114762,37.10659015823335,,,,18.17075291253695,96.66145018257694,3.338549817423057,00501
